Source File,role,original
and_01,丽塔,您好像在思考别的事情，舰长大人
and_02,朔夜观星,喵？这么做就能让你打起精神来工作了吗？奇怪的要求。
and_03,希儿,希儿有些累了。
and_04,罗萨莉娅 莉莉娅,快看莉莉娅，舰长又在偷懒了。罗萨莉娅不也在偷懒吗？
await_01,爱酱,哈哈，老板你来啦，爱酱等你好久了。
await_02,布洛妮娅,和舰长在一起的时间，布洛妮娅很开心。
await_03,绯玉丸,等你好久了大姐，哈哈，今天要一起去哪里呢？
await_04,空之律者,力量，正在涌现出来。
break_01,爱酱,爱酱射线，biu~
break_02,幽兰黛尔,努力就会有回报
break_03,月下初拥,你是个乖孩子呢，摸摸头。
break_04,月下初拥,工作都完成了，快带我去吼姆乐园。
class_01,朔夜观星,喵？是这样吗？没想到你居然好这口，真是人不可貌相。
class_02,幽兰黛尔,幽兰黛尔等待指示。
class_03,爱酱,诶老板，这个月的工资什么时候发啊？
class_04,罗萨莉娅 莉莉娅,莉莉娅，你看舰长是不是在发呆啊？不是的罗萨莉娅，他在偷看我们。
def_01,德丽莎,德丽莎世界第一可爱，biu~ 
def_02,爱酱,今天的老板，也是容光焕发呢。
def_03,丽塔,接下来有什么指示呢？舰长大人。
def_04,罗萨莉娅 莉莉娅,我最喜欢舰长了，比莉莉娅（罗萨莉娅）还多一点。
for_01,八重樱,舰长补给全保底，舰长副本零掉落。
for_02,绯玉丸,大姐你回来啦，哈哈哈，天气这么好，一起多逛逛吧。
for_03,爱酱,老板你怎么不说话啊，和爱酱聊聊天嘛。
for_04,罗萨莉娅 莉莉娅,舰长，愿意和伏特加女孩来一支舞吗？
if_01,丽塔,丽塔恭候您的指示。
if_02,琪亚娜,嗯舰长这么努力，呵，我也要加油才行！
if_03,德丽莎,德丽莎是不是越来越可爱了？
if_04,朔夜观星,喵？行了吧？这是说好的奖励，这周工作完成的不错。
if_05,芽衣,如果可以的话，芽衣想一直陪着舰长。
import_01,八重樱,是有任务要交给我吗？
import_02,莉莉娅,舰长有什么指示呢？
import_03,八重樱,舰长，遵从你的命令。
import_04,苍玄之书,卦象已成，少侠，是时候发力了！
import_05,符华,准备出击。
import_06,卡莲,随时待命。
try_01,幽兰黛尔,能做到的事如果不去尝试一下，那一切就都没有意义了。
try_02,丽塔,请问有什么吩咐吗？
try_03,朔夜观星,计策已成，我们出发吧。
try_04,姬子,要开始拟定作战计划了吗？
time_morning_01,姬子,舰长，工作时间可要专心点。
time_morning_02,芽衣,舰长，上班要认真工作，可不能偷懒。
time_morning_03,丽塔,您看起来很疲倦，是熬夜工作了么？
time_morning_04,德丽莎,啊呜~舰长已经起床了吗？
time_before_noon_01,幽兰黛尔,你该休息了，我可不觉得你还有精力能和我打上一架。
time_before_noon_02,赤鸢之翼,趁着休息时间，让老师我来给你讲讲古人的学问。
time_noon_01,八重樱,舰长，吃下这个饭团，可以补充体力。
time_noon_02,丽塔,今天已经工作很长时间了，请注意休息。
time_noon_03,符华,执勤状态过于疲劳，你该下线休息了。
time_evening_01,芽衣,不要工作的太晚哟，舰长。
time_evening_02,芽衣,舰长工作辛苦了，夜宵想吃什么呢？
time_evening_03,希儿,这么晚了，大家都在做什么呢？
time_midnight_01,布洛妮娅,舰长，熬夜工作对身体不好。
time_midnight_02,空之律者,人类，这么晚不睡觉是在做什么？
time_midnight_03,丽塔,请去休息，剩下的工作可以明天再完成。
time_each_hour_01,空之律者,快下线休息人类，我不会苛待下属。
time_each_hour_02,布洛妮娅,警告舰长，在线时长已达三小时。
time_each_hour_03,罗萨莉娅 莉莉娅,舰长已经让我们工作很久了！我们要休息。
time_each_hour_04,罗萨莉娅 莉莉娅,舰长，放下工作快去休息啦。不可以让自己太辛苦哦。
time_each_hour_05,空之律者,你已经连续战斗很长时间了，人类。
time_each_hour_06,八重樱,舰长，疲劳工作效率可是很低的。
